,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
PRM2,0,2.596651384,1,1,0,1,PRM2
PRM1,0,2.379356533,1,1,0,1,PRM1
LELP1,0,2.138405346,0.999,0.927,0,1,LELP1
AC007557.1,0,2.120146856,0.967,0.806,0,1,AC007557.1
TSSK6,0,2.00258798,0.999,0.504,0,1,TSSK6
C10orf62,0,1.949872294,0.999,0.725,0,1,C10orf62
GLUL,0,1.945197268,0.999,0.747,0,1,GLUL
SPATA3,0,1.875029025,0.993,0.581,0,1,SPATA3
TNP1,0,1.865011631,1,0.995,0,1,TNP1
OAZ3,0,1.84142781,0.998,0.788,0,1,OAZ3
SH3RF2,0,1.787770901,0.993,0.669,0,1,SH3RF2
PCP2,0,1.777364477,0.993,0.585,0,1,PCP2
SPEM1,0,1.758032309,0.993,0.47,0,1,SPEM1
RP11-322N21.2,0,1.697599849,0.969,0.412,0,1,RP11-322N21.2
GSG1,0,1.686224589,0.998,0.802,0,1,GSG1
SPATA42,0,1.677056397,0.998,0.612,0,1,SPATA42
TSPAN16,0,1.662024687,0.994,0.569,0,1,TSPAN16
ACAP1,0,1.651092697,0.979,0.53,0,1,ACAP1
DCUN1D1,0,1.643336618,0.999,0.876,0,1,DCUN1D1
TPPP2,0,1.634162346,1,0.781,0,1,TPPP2
PAQR7,0,1.614638575,0.983,0.452,0,1,PAQR7
GAPDHS,0,1.613047569,0.999,0.732,0,1,GAPDHS
CXCL16,0,1.606088227,0.992,0.613,0,1,CXCL16
FSCN3,0,1.597780064,0.953,0.367,0,1,FSCN3
C16orf82,0,1.569355052,0.993,0.707,0,1,C16orf82
C20orf141,0,1.568319766,0.993,0.548,0,1,C20orf141
NUPR2,0,1.567019746,1,0.885,0,1,NUPR2
LINC00608,0,1.53803343,0.992,0.502,0,1,LINC00608
C2orf57,0,1.529713978,0.989,0.504,0,1,C2orf57
CCNY,0,1.517080277,0.982,0.659,0,1,CCNY
C17orf74,0,1.514412378,0.959,0.381,0,1,C17orf74
C12orf54,0,1.473145969,0.953,0.453,0,1,C12orf54
DGCR14,0,1.457511874,0.971,0.534,0,1,DGCR14
RP11-402G3.5,0,1.450820253,0.979,0.474,0,1,RP11-402G3.5
SPTY2D1-AS1,0,1.441433159,0.999,0.845,0,1,SPTY2D1-AS1
SMCP,0,1.43840452,0.999,0.866,0,1,SMCP
CEP170,0,1.428172078,0.987,0.626,0,1,CEP170
PROCA1,0,1.426948517,0.999,0.79,0,1,PROCA1
CLPB,0,1.423645993,0.998,0.691,0,1,CLPB
DNAJC4,0,1.418615753,0.969,0.646,0,1,DNAJC4
SPATA18,0,1.414461091,0.977,0.529,0,1,SPATA18
DNAJB8,0,1.402436962,0.987,0.535,0,1,DNAJB8
PTP4A1,0,1.39824334,0.983,0.693,0,1,PTP4A1
RABIF,0,1.390502963,0.961,0.845,0,1,RABIF
LEMD1,0,1.389810181,0.969,0.566,0,1,LEMD1
FNDC8,0,1.375870099,0.965,0.417,0,1,FNDC8
REEP6,0,1.375567532,0.985,0.742,0,1,REEP6
PHOSPHO1,0,1.372572879,0.864,0.316,0,1,PHOSPHO1
CTD-2568A17.1,0,1.364004585,0.994,0.685,0,1,CTD-2568A17.1
UBL4B,0,1.354684872,0.998,0.782,0,1,UBL4B
RANGAP1,0,1.354013128,0.925,0.503,0,1,RANGAP1
CCDC91,0,1.352577047,0.998,0.795,0,1,CCDC91
IQCF3,0,1.346899986,0.995,0.651,0,1,IQCF3
TEX37,0,1.333912399,0.949,0.453,0,1,TEX37
AKAP1,0,1.331675692,0.948,0.428,0,1,AKAP1
CRISP2,0,1.321701382,0.999,0.925,0,1,CRISP2
C9orf24,0,1.307890333,0.961,0.626,0,1,C9orf24
MFAP3L,0,1.305331063,0.96,0.562,0,1,MFAP3L
NDUFA13,0,1.303937001,0.969,0.716,0,1,NDUFA13
C3orf22,0,1.302072744,0.934,0.425,0,1,C3orf22
RNF138,0,1.291085925,0.995,0.839,0,1,RNF138
BPIFA3,0,1.27679384,0.981,0.606,0,1,BPIFA3
MORN3,0,1.263960366,0.891,0.334,0,1,MORN3
ADIG,0,1.258575602,0.941,0.391,0,1,ADIG
C19orf70,0,1.258526862,0.984,0.839,0,1,C19orf70
ISG20L2,0,1.257811127,0.981,0.638,0,1,ISG20L2
FAM120B,0,1.250578666,0.965,0.457,0,1,FAM120B
ODF2,0,1.229406324,0.999,0.901,0,1,ODF2
GABRG3-AS1,0,1.22931363,0.958,0.471,0,1,GABRG3-AS1
CARHSP1,0,1.228049155,0.999,0.847,0,1,CARHSP1
TEX36-AS1,0,1.22325276,0.846,0.306,0,1,TEX36-AS1
SMKR1,0,1.219843727,0.998,0.8,0,1,SMKR1
MOSPD3,0,1.210396192,0.953,0.588,0,1,MOSPD3
FAM187B,0,1.209112715,0.924,0.326,0,1,FAM187B
AC010649.1,0,1.201732856,0.894,0.361,0,1,AC010649.1
CCSER2,0,1.197696063,0.994,0.733,0,1,CCSER2
PRH1,0,1.191684561,0.913,0.438,0,1,PRH1
METAP1,0,1.184363126,0.916,0.463,0,1,METAP1
PRM3,0,1.175264249,0.962,0.536,0,1,PRM3
BANF2,0,1.169488651,0.945,0.537,0,1,BANF2
ST6GALNAC2,0,1.166173777,0.937,0.476,0,1,ST6GALNAC2
HIP1,0,1.153356621,0.837,0.318,0,1,HIP1
H1FNT,0,1.129785659,0.986,0.734,0,1,H1FNT
ACTL7A,0,1.128500244,0.979,0.691,0,1,ACTL7A
LPIN1,0,1.124511053,0.901,0.48,0,1,LPIN1
CCDC37-AS1,0,1.118711965,0.976,0.573,0,1,CCDC37-AS1
ARPP19,0,1.11180512,0.984,0.855,0,1,ARPP19
PSMF1,0,1.111023661,0.995,0.909,0,1,PSMF1
AKAP4,0,1.100785212,0.92,0.475,0,1,AKAP4
ACTRT2,0,1.095115712,0.987,0.669,0,1,ACTRT2
C16orf78,0,1.094819965,0.78,0.262,0,1,C16orf78
SPATA12,0,1.094245931,0.932,0.368,0,1,SPATA12
CUL9,0,1.092164506,0.944,0.464,0,1,CUL9
ZFAND3,0,1.090082488,0.984,0.796,0,1,ZFAND3
C1orf234,0,1.083583954,0.975,0.577,0,1,C1orf234
C5orf52,0,1.081552354,0.934,0.593,0,1,C5orf52
ODF3L2,0,1.077555755,0.81,0.299,0,1,ODF3L2
CDHR2,0,1.069788295,0.852,0.248,0,1,CDHR2
TSPAN1,0,1.069666743,0.819,0.231,0,1,TSPAN1
CCDC70,0,1.06726808,0.974,0.64,0,1,CCDC70
RP11-630C16.1,0,1.046197523,0.818,0.276,0,1,RP11-630C16.1
LRRD1,0,1.042240346,0.828,0.257,0,1,LRRD1
STK35,0,1.038212914,0.887,0.481,0,1,STK35
EIF4H,0,1.037581723,0.976,0.736,0,1,EIF4H
ODF3B,0,1.028986213,0.839,0.286,0,1,ODF3B
AC009487.4,0,1.005140296,0.818,0.276,0,1,AC009487.4
UBE2N,0,0.990638849,0.999,0.965,0,1,UBE2N
UBQLNL,0,0.979705649,0.788,0.251,0,1,UBQLNL
C11orf42,0,0.978628897,0.792,0.222,0,1,C11orf42
GPX4,0,0.966544326,1,0.992,0,1,GPX4
RP11-496I9.1,0,0.950897838,0.789,0.275,0,1,RP11-496I9.1
RP11-219E7.2,0,0.91300008,0.764,0.232,0,1,RP11-219E7.2
TCP11,0,0.897169123,0.999,0.894,0,1,TCP11
RP5-956O18.2,0,0.892626816,0.762,0.227,0,1,RP5-956O18.2
AC007557.4,0,0.876530765,0.718,0.191,0,1,AC007557.4
UBA52,0,0.724062002,0.999,0.999,0,1,UBA52
SPATA6,7.45E-307,0.972947617,0.986,0.79,2.13E-302,1,SPATA6
BAG1,9.53E-307,1.017418349,0.975,0.824,2.73E-302,1,BAG1
ACSBG2,1.51E-306,1.089737176,0.942,0.534,4.31E-302,1,ACSBG2
FAM46C,2.26E-304,1.20522571,0.93,0.564,6.48E-300,1,FAM46C
RP5-1051H14.2,3.04E-304,1.225870675,0.802,0.296,8.70E-300,1,RP5-1051H14.2
MSTO1,4.62E-304,1.008037244,0.888,0.517,1.32E-299,1,MSTO1
RP4-584D14.6,8.61E-300,1.100918039,0.765,0.254,2.46E-295,1,RP4-584D14.6
TMEM31,9.37E-300,1.26520607,0.86,0.426,2.68E-295,1,TMEM31
ETNK2,1.53E-299,1.016917137,0.919,0.494,4.37E-295,1,ETNK2
C11orf71,3.67E-294,0.967518699,0.976,0.737,1.05E-289,1,C11orf71
UBE2J1,4.54E-294,1.18262631,0.893,0.488,1.30E-289,1,UBE2J1
MLF1,2.23E-291,0.670731662,1,0.98,6.38E-287,1,MLF1
